M,theta,beta_lower,beta_upper
4.000000,82.000000,572939.602321,572939.602321
4.000000,83.000000,572939.652585,572939.652585
4.000000,84.000000,572939.702660,572939.702660
4.000000,85.000000,572939.752572,572939.752572
4.000000,86.000000,572939.802349,572939.802349
4.000000,87.000000,572939.852020,572939.852020
4.000000,88.000000,572939.901609,572939.901609
5.000000,0.000000,572928.463710,572928.463710
5.000000,1.000000,572929.072183,572929.072183
5.000000,2.000000,572929.647830,572929.647830
5.000000,3.000000,572930.191165,572930.191165
5.000000,4.000000,572930.702939,572930.702939
5.000000,5.000000,572931.184109,572931.184109
5.000000,6.000000,572931.635807,572931.635807
5.000000,7.000000,572932.059310,572932.059310
5.000000,8.000000,572932.455998,572932.455998
5.000000,9.000000,572932.827323,572932.827323
5.000000,10.000000,572933.174770,572933.174770
5.000000,11.000000,572933.499832,572933.499832
5.000000,12.000000,572933.803985,572933.803985
5.000000,13.000000,572934.088649,572934.088649
5.000000,14.000000,572934.355238,572934.355238
5.000000,15.000000,572934.605056,572934.605056
5.000000,16.000000,572934.839346,572934.839346
5.000000,17.000000,572935.059280,572935.059280
5.000000,18.000000,572935.265950,572935.265950
5.000000,19.000000,572935.460372,572935.460372
5.000000,20.000000,572935.643493,572935.643493
5.000000,21.000000,572935.816164,572935.816164
5.000000,22.000000,572935.979194,572935.979194
5.000000,23.000000,572936.133317,572936.133317
5.000000,24.000000,572936.279209,572936.279209
5.000000,25.000000,572936.417488,572936.417488
5.000000,26.000000,572936.548721,572936.548721
5.000000,27.000000,572936.673429,572936.673429
5.000000,28.000000,572936.792088,572936.792088
5.000000,29.000000,572936.905135,572936.905135
5.000000,30.000000,572937.012971,572937.012971
5.000000,31.000000,572937.115962,572937.115962
5.000000,32.000000,572937.214447,572937.214447
5.000000,33.000000,572937.308735,572937.308735
5.000000,34.000000,572937.399112,572937.399112
5.000000,35.000000,572937.485838,572937.485838
5.000000,36.000000,572937.569155,572937.569155
5.000000,37.000000,572937.649287,572937.649287
5.000000,38.000000,572937.726438,572937.726438
5.000000,39.000000,572937.800795,572937.800795
5.000000,40.000000,572937.872540,572937.872540
5.000000,41.000000,572937.941831,572937.941831
5.000000,42.000000,572938.008820,572938.008820
5.000000,43.000000,572938.073645,572938.073645
5.000000,44.000000,572938.136437,572938.136437
5.000000,45.000000,572938.197317,572938.197317
5.000000,46.000000,572938.256396,572938.256396
5.000000,47.000000,572938.313779,572938.313779
5.000000,48.000000,572938.369565,572938.369565
5.000000,49.000000,572938.423843,572938.423843
5.000000,50.000000,572938.476701,572938.476701
5.000000,51.000000,572938.528217,572938.528217
5.000000,52.000000,572938.578466,572938.578466
5.000000,53.000000,572938.627519,572938.627519
5.000000,54.000000,572938.675442,572938.675442
5.000000,55.000000,572938.722298,572938.722298
5.000000,56.000000,572938.768144,572938.768144
5.000000,57.000000,572938.813035,572938.813035
5.000000,58.000000,572938.857025,572938.857025
5.000000,59.000000,572938.900163,572938.900163
5.000000,60.000000,572938.942494,572938.942494
5.000000,61.000000,572938.984063,572938.984063
5.000000,62.000000,572939.024913,572939.024913
5.000000,63.000000,572939.065083,572939.065083
5.000000,64.000000,572939.104610,572939.104610
5.000000,65.000000,572939.143532,572939.143532
5.000000,66.000000,572939.181882,572939.181882
5.000000,67.000000,572939.219694,572939.219694
5.000000,68.000000,572939.256998,572939.256998
5.000000,69.000000,572939.293826,572939.293826
5.000000,70.000000,572939.330206,572939.330206
5.000000,71.000000,572939.366165,572939.366165
5.000000,72.000000,572939.401731,572939.401731
5.000000,73.000000,572939.436929,572939.436929
5.000000,74.000000,572939.471785,572939.471785
5.000000,75.000000,572939.506322,572939.506322
5.000000,76.000000,572939.540563,572939.540563
5.000000,77.000000,572939.574531,572939.574531
5.000000,78.000000,572939.608249,572939.608249
5.000000,79.000000,572939.641737,572939.641737
5.000000,80.000000,572939.675016,572939.675016
5.000000,81.000000,572939.708108,572939.708108
5.000000,82.000000,572939.741031,572939.741031
5.000000,83.000000,572939.773805,572939.773805
5.000000,84.000000,572939.806450,572939.806450
5.000000,85.000000,572939.838985,572939.838985
5.000000,86.000000,572939.871429,572939.871429
5.000000,87.000000,572939.903799,572939.903799
5.000000,88.000000,572939.936114,572939.936114
6.000000,0.000000,572930.406594,572930.406594
6.000000,1.000000,572931.004264,572931.004264
6.000000,2.000000,572931.563254,572931.563254
6.000000,3.000000,572932.084350,572932.084350
6.000000,4.000000,572932.568690,572932.568690
6.000000,5.000000,572933.017826,572933.017826
6.000000,6.000000,572933.433489,572933.433489
6.000000,7.000000,572933.817626,572933.817626
6.000000,8.000000,572934.172296,572934.172296
6.000000,9.000000,572934.499605,572934.499605
6.000000,10.000000,572934.801648,572934.801648
6.000000,11.000000,572935.080468,572935.080468
6.000000,12.000000,572935.338018,572935.338018
6.000000,13.000000,572935.576142,572935.576142
6.000000,14.000000,572935.796560,572935.796560
6.000000,15.000000,572936.000862,572936.000862
6.000000,16.000000,572936.190505,572936.190505
6.000000,17.000000,572936.366823,572936.366823
6.000000,18.000000,572936.531023,572936.531023
6.000000,19.000000,572936.684203,572936.684203
6.000000,20.000000,572936.827352,572936.827352
6.000000,21.000000,572936.961363,572936.961363
6.000000,22.000000,572937.087042,572937.087042
6.000000,23.000000,572937.205112,572937.205112
6.000000,24.000000,572937.316229,572937.316229
6.000000,25.000000,572937.420980,572937.420980
6.000000,26.000000,572937.519897,572937.519897
6.000000,27.000000,572937.613457,572937.613457
6.000000,28.000000,572937.702095,572937.702095
6.000000,29.000000,572937.786201,572937.786201
6.000000,30.000000,572937.866129,572937.866129
6.000000,31.000000,572937.942200,572937.942200
6.000000,32.000000,572938.014705,572938.014705
6.000000,33.000000,572938.083910,572938.083910
6.000000,34.000000,572938.150056,572938.150056
6.000000,35.000000,572938.213363,572938.213363
6.000000,36.000000,572938.274030,572938.274030
6.000000,37.000000,572938.332242,572938.332242
6.000000,38.000000,572938.388168,572938.388168
6.000000,39.000000,572938.441960,572938.441960
6.000000,40.000000,572938.493761,572938.493761
6.000000,41.000000,572938.543702,572938.543702
6.000000,42.000000,572938.591901,572938.591901
6.000000,43.000000,572938.638470,572938.638470
6.000000,44.000000,572938.683511,572938.683511
6.000000,45.000000,572938.727119,572938.727119
6.000000,46.000000,572938.769382,572938.769382
6.000000,47.000000,572938.810380,572938.810380
6.000000,48.000000,572938.850190,572938.850190
6.000000,49.000000,572938.888882,572938.888882
6.000000,50.000000,572938.926522,572938.926522
6.000000,51.000000,572938.963170,572938.963170
6.000000,52.000000,572938.998883,572938.998883
6.000000,53.000000,572939.033716,572939.033716
6.000000,54.000000,572939.067718,572939.067718
6.000000,55.000000,572939.100936,572939.100936
6.000000,56.000000,572939.133415,572939.133415
6.000000,57.000000,572939.165195,572939.165195
6.000000,58.000000,572939.196316,572939.196316
6.000000,59.000000,572939.226815,572939.226815
6.000000,60.000000,572939.256726,572939.256726
6.000000,61.000000,572939.286082,572939.286082
6.000000,62.000000,572939.314915,572939.314915
6.000000,63.000000,572939.343253,572939.343253
6.000000,64.000000,572939.371125,572939.371125
6.000000,65.000000,572939.398558,572939.398558
